product_id,product_length,product_depth,product_width,cluster_id,hierarchy1_id,hierarchy2_id,hierarchy3_id,hierarchy4_id,hierarchy5_id
P0108,10.00,25.00,32.00,cluster_0,H03,H0313,H031302,H03130205,H0313020501
P0109,7.00,18.00,11.00,cluster_0,H01,H0107,H010700,H01070009,H0107000922
P0110,6.20,16.80,6.20,cluster_0,H00,H0000,H000004,H00000405,H0000040501
P0111,7.80,9.50,9.40,cluster_0,H00,H0001,H000105,H00010500,H0001050017
P0112,17.50,9.50,24.00,cluster_0,H03,H0314,H031401,H03140102,H0314010203
P0113,2.00,17.00,6.00,cluster_0,H03,H0315,H031504,H03150411,H0315041140
P0114,2.00,7.50,9.00,cluster_0,H00,H0003,H000312,H00031209,H0003120906
P0115,3.00,14.00,5.50,cluster_0,H00,H0001,H000105,H00010500,H0001050001
P0116,0.50,14.00,6.00,cluster_3,H00,H0002,H000200,H00020009,H0002000926
P0117,5.00,10.80,5.60,cluster_0,H01,H0108,H010805,H01080500,H0108050006
P0119,15.00,15.00,15.00,cluster_0,H00,H0000,H000003,H00000300,H0000030001
P0122,5.00,28.00,16.00,cluster_6,H03,H0311,H031109,H03110900,H0311090001
P0124,17.00,24.00,17.00,cluster_0,H03,H0317,H031702,H03170212,H0317021212
P0125,2.00,5.00,9.00,cluster_5,H00,H0003,H000316,H00031600,H0003160001
P0126,4.00,16.00,5.00,cluster_0,H01,H0108,H010807,H01080709,H0108070906
P0127,10.00,30.00,20.00,cluster_0,H03,H0311,H031101,H03110104,H0311010424
P0128,9.00,14.00,9.00,cluster_0,H03,H0312,H031207,H03120710,H0312071013
P0129,22.20,22.20,44.40,cluster_0,H01,H0107,H010701,H01070110,H0107011026
P0130,2.50,17.00,13.00,cluster_0,H03,H0313,H031303,H03130302,H0313030205
P0131,1.00,12.00,11.00,cluster_6,H00,H0003,H000316,H00031609,H0003160922
P0132,5.00,28.00,16.00,cluster_0,H03,H0311,H031109,H03110901,H0311090103
P0134,6.00,30.00,10.00,cluster_0,H03,H0314,H031405,H03140500,H0314050003
P0135,3.00,15.00,55.00,cluster_0,H03,H0315,H031506,H03150612,H0315061244
P0136,3.30,25.90,8.50,cluster_0,H01,H0108,H010801,H01080110,H0108011006
P0137,23.60,24.10,8.30,cluster_0,H03,H0315,H031502,H03150200,H0315020035
P0138,5.00,47.00,28.50,cluster_3,H03,H0312,H031205,H03120507,H0312050709
P0140,2.00,27.00,21.00,cluster_0,H03,H0313,H031307,H03130700,H0313070008
P0141,6.00,20.00,12.00,cluster_6,H00,H0001,H000102,H00010210,H0001021017
P0142,7.00,12.00,12.00,cluster_0,H03,H0311,H031109,H03110900,H0311090001
P0143,3.00,26.00,13.00,cluster_0,H03,H0311,H031113,H03111305,H0311130529
P0144,4.50,21.00,14.30,cluster_3,H00,H0003,H000311,H00031100,H0003110006
P0145,4.00,12.50,4.00,cluster_0,H00,H0001,H000105,H00010500,H0001050001
P0146,3.60,3.50,20.00,cluster_0,H03,H0312,H031205,H03120507,H0312050709
P0147,12.50,37.00,12.50,cluster_9,H01,H0106,H010601,H01060112,H0106011202
P0148,6.00,7.00,12.20,cluster_0,H00,H0002,H000200,H00020000,H0002000032
P0149,1.80,5.50,16.30,cluster_8,H00,H0003,H000312,H00031205,H0003120506
P0150,6.00,14.00,14.00,cluster_0,H03,H0313,H031302,H03130209,H0313020905
P0151,2.00,15.00,11.50,cluster_0,H01,H0108,H010806,H01080600,H0108060006
P0152,5.00,19.00,13.00,cluster_0,H00,H0003,H000312,H00031200,H0003120001
P0154,3.00,20.00,12.00,cluster_6,H00,H0001,H000105,H00010500,H0001050017
P0156,5.00,20.00,8.00,cluster_0,H01,H0108,H010806,H01080600,H0108060006
P0157,6.00,6.00,15.00,cluster_2,H00,H0003,H000312,H00031200,H0003120002
P0158,15.00,8.00,2.00,cluster_0,H03,H0313,H031305,H03130518,H0313051830
P0159,20.00,28.00,25.00,cluster_0,H03,H0311,H031108,H03110801,H0311080102
P0160,30.00,1.00,21.00,cluster_0,H03,H0313,H031305,H03130520,H0313052008
P0161,7.00,6.00,7.00,cluster_0,H01,H0108,H010808,H01080815,H0108081512
P0162,2.00,8.80,3.60,cluster_0,H01,H0108,H010810,H01081009,H0108100901
P0163,2.00,13.00,4.00,cluster_0,H03,H0314,H031405,H03140500,H0314050003
P0164,4.40,15.80,9.00,cluster_0,H01,H0108,H010807,H01080700,H0108070033
P0165,1.00,13.00,12.00,cluster_3,H00,H0003,H000316,H00031609,H0003160922
P0166,5.00,19.00,13.00,cluster_0,H00,H0001,H000102,H00010210,H0001021017
P0167,20.00,33.50,21.80,cluster_0,H01,H0107,H010702,H01070205,H0107020504
P0169,8.00,19.00,12.00,cluster_4,H03,H0313,H031303,H03130303,H0313030301
P0170,23.70,11.70,22.30,cluster_0,H03,H0312,H031207,H03120710,H0312071007
P0171,4.50,17.00,4.50,cluster_0,H01,H0108,H010805,H01080500,H0108050032
P0172,28.00,4.50,28.00,cluster_0,H03,H0314,H031402,H03140200,H0314020004
P0173,2.00,27.00,21.00,cluster_0,H03,H0313,H031307,H03130700,H0313070010
P0174,3.00,17.00,9.00,cluster_0,H00,H0004,H000401,H00040105,H0004010506
P0175,2.00,20.00,10.00,cluster_0,H03,H0313,H031309,H03130900,H0313090044
P0177,1.00,12.00,8.00,cluster_0,H01,H0106,H010601,H01060114,H0106011422
P0178,3.50,16.50,4.50,cluster_0,H01,H0108,H010806,H01080613,H0108061306
P0179,7.00,14.00,12.00,cluster_0,H03,H0312,H031207,H03120710,H0312071012
P0180,22.00,59.00,29.00,cluster_0,H03,H0313,H031302,H03130213,H0313021301
P0181,4.10,17.30,10.10,cluster_0,H03,H0315,H031508,H03150809,H0315080935
P0182,5.00,37.00,27.00,cluster_4,H01,H0105,H010501,H01050100,H0105010006
P0183,14.20,3.80,11.00,cluster_0,H01,H0106,H010601,H01060111,H0106011112
P0184,6.00,30.00,10.00,cluster_6,H03,H0313,H031302,H03130205,H0313020501
P0185,1.00,20.00,30.00,cluster_0,H03,H0313,H031307,H03130705,H0313070501
P0186,8.00,16.00,8.00,cluster_8,H03,H0312,H031204,H03120409,H0312040900
P0187,9.00,25.00,19.00,cluster_0,H03,H0313,H031303,H03130302,H0313030201
P0188,10.00,30.00,25.00,cluster_9,H03,H0311,H031113,H03111305,H0311130527
P0189,4.00,14.70,11.00,cluster_4,H00,H0004,H000401,H00040105,H0004010501
P0190,6.00,19.00,14.00,cluster_0,H03,H0315,H031508,H03150809,H0315080935
P0192,15.00,15.00,40.00,cluster_0,H03,H0315,H031508,H03150800,H0315080002
P0193,6.00,3.00,6.00,cluster_0,H01,H0108,H010809,H01080913,H0108091317
P0194,6.00,7.00,9.00,cluster_0,H03,H0312,H031201,H03120100,H0312010002
P0195,6.50,7.50,12.00,cluster_0,H00,H0002,H000200,H00020000,H0002000032
P0196,5.00,23.00,20.00,cluster_0,H03,H0314,H031405,H03140500,H0314050003
P0197,6.00,18.00,10.00,cluster_2,H00,H0004,H000401,H00040105,H0004010517
P0198,1.00,16.00,3.00,cluster_0,H00,H0002,H000200,H00020009,H0002000926
P0201,3.00,14.50,4.90,cluster_8,H01,H0108,H010807,H01080709,H0108070906
P0202,1.00,1.00,1.00,cluster_0,H00,H0000,H000005,H00000505,H0000050501
P0203,1.00,1.00,1.00,cluster_0,H00,H0004,H000403,H00040310,H0004031022
P0204,1.60,24.00,7.00,cluster_0,H03,H0313,H031305,H03130518,H0313051832
P0205,4.00,17.50,10.00,cluster_0,H03,H0315,H031502,H03150200,H0315020002
P0206,6.00,12.00,6.00,cluster_8,H03,H0314,H031408,H03140801,H0314080102
P0208,1.00,1.00,1.00,cluster_0,H03,H0313,H031302,H03130215,H0313021508
P0209,6.00,30.40,20.00,cluster_0,H03,H0313,H031302,H03130210,H0313021002
P0210,5.20,33.50,12.00,cluster_7,H03,H0312,H031205,H03120504,H0312050405
P0211,14.00,7.20,15.70,cluster_0,H01,H0107,H010700,H01070009,H0107000901
P0212,6.50,12.00,18.50,cluster_0,H00,H0002,H000200,H00020000,H0002000022
P0213,1.50,24.00,7.00,cluster_0,H03,H0313,H031305,H03130518,H0313051826
P0215,3.00,12.00,10.00,cluster_0,H01,H0107,H010702,H01070211,H0107021107
P0216,1.00,1.00,1.00,cluster_0,H01,H0108,H010809,H01080900,H0108090001
P0217,8.00,6.00,14.00,cluster_0,H01,H0107,H010702,H01070212,H0107021212
P0218,7.50,15.00,13.00,cluster_6,H01,H0108,H010806,H01080615,H0108061501
P0219,8.70,12.50,8.70,cluster_9,H00,H0002,H000201,H00020110,H0002011001
P0220,5.00,17.00,13.00,cluster_4,H00,H0001,H000102,H00010210,H0001021012
P0221,2.70,12.00,6.00,cluster_9,H01,H0108,H010801,H01080110,H0108011006
P0222,14.50,20.50,18.00,cluster_0,H03,H0313,H031302,H03130209,H0313020905
P0223,5.30,23.70,11.10,cluster_0,H01,H0105,H010503,H01050309,H0105030901
P0224,13.00,19.00,15.00,cluster_0,H03,H0311,H031108,H03110801,H0311080103
P0225,4.00,8.00,4.00,cluster_0,H01,H0108,H010806,H01080616,H0108061601
P0226,6.50,7.00,6.50,cluster_0,H01,H0107,H010702,H01070210,H0107021003
P0227,2.00,27.00,21.00,cluster_0,H03,H0313,H031307,H03130700,H0313070001
P0228,5.00,28.00,16.00,cluster_0,H03,H0311,H031109,H03110900,H0311090003
P0229,5.60,8.40,5.60,cluster_0,H00,H0001,H000105,H00010500,H0001050017
P0231,3.70,18.90,7.70,cluster_0,H01,H0107,H010702,H01070200,H0107020004
P0232,2.30,17.00,7.30,cluster_0,H03,H0315,H031504,H03150411,H0315041140
P0233,1.00,56.00,30.00,cluster_0,H03,H0317,H031702,H03170215,H0317021509
P0234,10.90,35.10,23.20,cluster_0,H03,H0313,H031302,H03130205,H0313020501
P0237,24.00,77.00,2.00,cluster_0,H03,H0317,H031702,H03170212,H0317021204
P0238,6.00,20.00,6.00,cluster_3,H00,H0000,H000003,H00000300,H0000030001
P0239,4.00,18.00,14.00,cluster_0,H00,H0002,H000201,H00020100,H0002010006
P0240,9.40,14.00,8.00,cluster_0,H03,H0313,H031302,H03130210,H0313021002
P0241,5.00,13.80,5.00,cluster_9,H00,H0001,H000105,H00010500,H0001050001
P0242,4.30,17.50,4.30,cluster_0,H01,H0108,H010805,H01080500,H0108050033
P0243,1.00,1.00,1.00,cluster_0,H00,H0004,H000403,H00040310,H0004031012
P0245,1.50,7.60,16.50,cluster_4,H00,H0003,H000312,H00031200,H0003120001
P0246,1.60,21.00,14.00,cluster_0,H03,H0313,H031307,H03130700,H0313070009
P0247,5.00,28.00,15.00,cluster_4,H03,H0313,H031303,H03130303,H0313030301
P0249,7.70,25.50,7.70,cluster_8,H00,H0000,H000004,H00000405,H0000040501
P0251,8.00,18.00,13.00,cluster_0,H01,H0107,H010702,H01070211,H0107021101
P0252,2.00,14.00,7.00,cluster_8,H03,H0313,H031302,H03130200,H0313020001
P0254,3.00,5.00,17.00,cluster_0,H01,H0108,H010801,H01080110,H0108011006
P0255,6.00,9.00,7.50,cluster_6,H00,H0002,H000206,H00020610,H0002061001
P0256,5.80,21.10,5.80,cluster_0,H01,H0108,H010807,H01080709,H0108070901
P0257,6.00,7.00,13.00,cluster_0,H00,H0002,H000208,H00020800,H0002080036
P0258,6.00,19.00,13.00,cluster_0,H01,H0107,H010702,H01070210,H0107021002
P0260,4.50,16.00,8.00,cluster_0,H00,H0002,H000206,H00020600,H0002060001
P0261,2.00,21.50,13.50,cluster_0,H00,H0003,H000314,H00031409,H0003140912
P0263,25.00,18.00,2.00,cluster_2,H03,H0311,H031110,H03111000,H0311100002
P0264,4.00,4.00,15.00,cluster_0,H03,H0313,H031305,H03130515,H0313051514
P0265,6.50,11.50,6.50,cluster_0,H00,H0000,H000004,H00000405,H0000040501
P0266,10.00,23.00,25.50,cluster_0,H01,H0108,H010805,H01080509,H0108050906
P0267,15.00,5.00,25.00,cluster_0,H03,H0312,H031205,H03120502,H0312050214
P0268,4.50,13.00,9.00,cluster_3,H00,H0001,H000101,H00010105,H0001010501
P0269,6.00,23.00,18.00,cluster_0,H00,H0002,H000202,H00020200,H0002020032
P0270,5.00,28.00,16.00,cluster_0,H03,H0311,H031109,H03110901,H0311090101
P0271,24.00,1.50,38.00,cluster_5,H03,H0312,H031209,H03120916,H0312091618
P0272,7.40,19.50,12.90,cluster_0,H00,H0001,H000102,H00010210,H0001021017
P0274,3.50,12.00,50.00,cluster_0,H03,H0315,H031512,H03151215,H0315121511
P0275,3.00,3.00,12.00,cluster_0,H00,H0003,H000315,H00031500,H0003150003
P0276,5.00,20.20,8.00,cluster_6,H01,H0108,H010807,H01080710,H0108071022
P0277,6.70,24.00,7.50,cluster_8,H00,H0000,H000004,H00000400,H0000040001
P0278,1.00,1.00,1.00,cluster_0,H00,H0001,H000100,H00010000,H0001000033
P0279,5.20,15.00,7.30,cluster_2,H00,H0002,H000202,H00020200,H0002020006
P0280,6.00,19.00,13.00,cluster_4,H03,H0313,H031303,H03130302,H0313030201
P0281,6.00,19.00,6.00,cluster_0,H00,H0002,H000208,H00020800,H0002080039
P0282,10.00,11.00,11.00,cluster_0,H03,H0312,H031206,H03120610,H0312061041
P0283,1.50,12.00,17.00,cluster_0,H01,H0106,H010601,H01060114,H0106011422
P0284,5.00,28.00,11.00,cluster_0,H00,H0002,H000200,H00020009,H0002000901
P0285,3.50,21.00,9.00,cluster_0,H03,H0315,H031508,H03150809,H0315080935
P0286,4.50,13.00,9.00,cluster_3,H00,H0001,H000101,H00010105,H0001010501
P0287,7.30,10.60,7.30,cluster_0,H00,H0002,H000201,H00020100,H0002010012
P0289,1.00,1.00,1.00,cluster_0,H03,H0315,H031502,H03150200,H0315020035
P0290,5.00,19.00,13.00,cluster_0,H00,H0001,H000102,H00010210,H0001021017
P0291,5.00,28.00,16.00,cluster_0,H03,H0311,H031109,H03110900,H0311090002
P0293,3.00,23.50,17.00,cluster_0,H03,H0311,H031110,H03111000,H0311100003
P0294,9.00,31.00,9.00,cluster_6,H00,H0000,H000005,H00000500,H0000050001
P0295,5.00,28.00,16.00,cluster_0,H03,H0311,H031108,H03110805,H0311080503
P0296,3.50,3.00,14.00,cluster_3,H00,H0003,H000312,H00031209,H0003120906
P0297,11.50,18.00,11.50,cluster_0,H00,H0002,H000201,H00020110,H0002011006
P0299,11.00,5.00,6.00,cluster_0,H03,H0312,H031207,H03120710,H0312071009
P0300,11.00,27.00,19.00,cluster_0,H03,H0313,H031302,H03130210,H0313021002
P0301,5.00,12.00,8.00,cluster_5,H00,H0004,H000401,H00040105,H0004010522
P0302,15.00,28.00,60.00,cluster_0,H03,H0313,H031302,H03130215,H0313021502
P0304,3.90,15.40,8.10,cluster_0,H01,H0108,H010801,H01080110,H0108011006
P0305,14.00,35.00,14.00,cluster_0,H00,H0001,H000104,H00010400,H0001040001
P0309,30.00,31.00,42.00,cluster_0,H01,H0107,H010702,H01070205,H0107020508
P0310,5.00,15.00,10.00,cluster_0,H03,H0313,H031305,H03130500,H0313050007
P0311,1.00,20.00,30.00,cluster_9,H03,H0313,H031307,H03130705,H0313070501
P0312,6.00,10.00,8.00,cluster_0,H03,H0312,H031201,H03120101,H0312010130
P0313,11.80,24.60,9.30,cluster_0,H01,H0105,H010501,H01050105,H0105010506
P0314,3.00,18.00,10.00,cluster_0,H01,H0107,H010702,H01070211,H0107021102
P0316,1.00,1.00,1.00,cluster_0,H00,H0004,H000403,H00040300,H0004030017
P0317,3.10,19.00,8.80,cluster_0,H03,H0313,H031302,H03130212,H0313021210
P0318,3.00,14.00,10.00,cluster_3,H00,H0004,H000401,H00040105,H0004010512
P0321,4.30,23.30,8.50,cluster_0,H01,H0108,H010803,H01080311,H0108031101
P0322,59.00,88.00,59.00,cluster_0,H03,H0312,H031206,H03120609,H0312060938
P0324,7.50,12.50,7.50,cluster_0,H01,H0108,H010805,H01080509,H0108050901
P0325,6.00,18.50,11.00,cluster_2,H00,H0001,H000100,H00010010,H0001001001
P0326,3.00,18.00,10.00,cluster_0,H01,H0107,H010702,H01070211,H0107021102
P0327,2.00,4.00,13.00,cluster_0,H00,H0003,H000313,H00031300,H0003130001
P0328,2.00,7.00,11.00,cluster_0,H01,H0106,H010601,H01060114,H0106011422
P0329,5.00,49.50,2.50,cluster_0,H03,H0314,H031405,H03140506,H0314050602
P0330,5.00,10.00,5.00,cluster_0,H03,H0312,H031207,H03120710,H0312071004
P0331,40.60,37.00,36.50,cluster_4,H03,H0314,H031400,H03140001,H0314000104
P0332,6.90,13.20,6.90,cluster_3,H00,H0002,H000206,H00020600,H0002060006
P0333,7.50,21.00,10.50,cluster_4,H00,H0003,H000312,H00031200,H0003120004
P0335,4.10,11.00,4.10,cluster_0,H01,H0108,H010805,H01080500,H0108050026
P0336,11.00,43.00,24.00,cluster_0,H01,H0107,H010702,H01070205,H0107020505
P0337,17.00,40.00,30.00,cluster_0,H03,H0314,H031401,H03140102,H0314010203
P0339,12.00,16.00,11.80,cluster_0,H03,H0312,H031206,H03120609,H0312060938
P0340,5.00,20.00,13.00,cluster_0,H03,H0313,H031302,H03130200,H0313020001
P0341,8.50,29.10,5.80,cluster_0,H00,H0001,H000104,H00010413,H0001041312
P0342,4.50,14.00,15.00,cluster_0,H03,H0313,H031302,H03130209,H0313020901
P0343,3.00,6.00,4.00,cluster_0,H01,H0108,H010808,H01080813,H0108081301
P0345,7.00,23.60,8.00,cluster_0,H00,H0000,H000004,H00000400,H0000040001
P0346,9.00,12.00,9.00,cluster_3,H00,H0001,H000105,H00010510,H0001051017
P0347,4.00,9.00,9.00,cluster_3,H01,H0105,H010503,H01050305,H0105030501
P0348,7.40,15.30,12.90,cluster_0,H00,H0001,H000102,H00010210,H0001021012
P0350,2.00,15.00,10.00,cluster_7,H00,H0003,H000311,H00031100,H0003110033
P0351,1.80,11.20,9.50,cluster_0,H01,H0108,H010809,H01080900,H0108090006
P0352,5.00,20.00,15.00,cluster_0,H03,H0314,H031405,H03140500,H0314050003
P0353,4.00,22.00,7.50,cluster_4,H01,H0108,H010807,H01080709,H0108070901
P0354,5.00,28.00,16.00,cluster_3,H03,H0311,H031109,H03110901,H0311090103
P0355,30.00,5.00,28.00,cluster_0,H03,H0315,H031508,H03150809,H0315080911
P0356,2.00,6.00,10.00,cluster_3,H00,H0003,H000316,H00031609,H0003160922
P0358,10.00,10.00,10.00,cluster_0,H03,H0312,H031205,H03120502,H0312050215
P0360,5.00,28.00,16.00,cluster_0,H03,H0311,H031109,H03110900,H0311090003
P0361,6.00,48.00,6.00,cluster_0,H03,H0314,H031404,H03140407,H0314040701
P0362,6.00,7.00,12.20,cluster_5,H00,H0002,H000200,H00020000,H0002000032
P0363,5.00,12.00,8.00,cluster_0,H00,H0004,H000401,H00040100,H0004010005
P0364,4.00,4.00,12.50,cluster_0,H00,H0003,H000312,H00031200,H0003120017
P0366,6.80,8.50,7.00,cluster_4,H00,H0002,H000206,H00020600,H0002060017
P0369,7.00,8.00,13.00,cluster_0,H00,H0002,H000200,H00020000,H0002000026
P0370,2.00,21.00,11.00,cluster_5,H03,H0313,H031309,H03130900,H0313090000
P0371,6.20,16.80,6.20,cluster_9,H00,H0000,H000004,H00000405,H0000040517
P0372,2.00,7.00,2.50,cluster_9,H03,H0314,H031408,H03140802,H0314080201
P0373,5.00,18.00,14.00,cluster_6,H00,H0002,H000201,H00020100,H0002010012
P0374,27.00,26.50,25.00,cluster_0,H03,H0315,H031508,H03150800,H0315080011
